Account,Region,Desired,AE Lead,Justification
Woolworths Group,AU,Dean,Dean,
Wesfarmers,AU,,Dean,
Canva,AU,Dean,Dean,
Qantas,AU,,Dean,
Virgin Australia,AU,,Dean,
Flight Centre,AU,,Dean,
Toll,AU,,Dean,
ANZ Bank,AU,,Eric,
NAB,AU,,Eric,
Australia Post,AU,,Eric,
Commonwealth Bank,AU,,Hayden,
Macquarie,AU,Dean,Hayden,
Rio Tinto,AU,,Hayden,
Suncorp,AU,,Hayden,
IAG,AU,,Hayden,
Optus,AU,,Hayden,
TPG Telecom,AU,,Hayden,
Westpac,AU,Dean,Pete,
Ramsay Health Care,AU,,Pete,
BHP,AU,,Pete,
Fortescue,AU,,Pete,
QBE,AU,,Pete,
Medibank,AU,,Pete,
Australian Unity,AU,,Pete,
Telstra,AU,,Pete,
TGE (Toll Global Express),AU,,Pete,
Coles Group,AU,,TBD,
NBN,AU,,TBD,
Origin Energy,AU,,TBD,
AGL,AU,,TBD,
Crown Resorts,AU,,TBD,
Unity Water,AU,,TBD,
Hollard,AU,,TBD,
Acenda,AU,,Hayden,
AMP,AU,,,
Bendigo Bank,AU,,,
Lattitude,AU,,,
Department of Defence,AU,,,
Sonic Healthcare,AU,,,
CSL,AU,,,
Atlassian,AU,Dean,,
BNZ,NZ,,Hayden,
ASB Bank,NZ,,Hayden,
Fonterra,NZ,,Hayden,
Spark NZ,NZ,,Hayden,
Air NZ,NZ,,TBD,
News Corp (run out of the US currently),US,,Blake U.,
